Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
Argentina,Copa De La Liga Profesional,2024,26/01/2024,21:00,Barracas Central,Velez Sarsfield,1,1,D,3.48,2.84,2.54,3.55,2.87,2.56,3.37,2.77,2.42
Argentina,Copa De La Liga Profesional,2024,26/01/2024,22:00,Talleres Cordoba,Gimnasia L.P.,0,1,A,1.78,3.4,5.56,1.85,3.45,5.56,1.78,3.3,4.87
Argentina,Copa De La Liga Profesional,2024,27/01/2024,00:15,Banfield,Huracan,0,2,A,3.01,2.68,3.05,3.01,2.88,3.2,2.82,2.65,2.95
Argentina,Copa De La Liga Profesional,2024,27/01/2024,00:15,Ind. Rivadavia,Independiente,0,1,A,3.65,2.89,2.42,3.7,2.94,2.58,3.44,2.81,2.38
Argentina,Copa De La Liga Profesional,2024,27/01/2024,20:00,San Lorenzo,Lanus,0,2,A,2.98,2.75,2.99,3,2.81,3.1,2.79,2.7,2.93
Argentina,Copa De La Liga Profesional,2024,27/01/2024,22:00,Platense,Boca Juniors,0,0,D,3.97,2.91,2.28,4,3.16,2.28,3.68,2.93,2.19
Argentina,Copa De La Liga Profesional,2024,28/01/2024,00:00,Racing Club,Union de Santa Fe,0,1,A,1.83,3.29,5.39,1.84,3.52,5.39,1.78,3.29,4.86
Argentina,Copa De La Liga Profesional,2024,28/01/2024,20:00,Godoy Cruz,Defensa y Justicia,2,0,H,1.95,3.32,4.5,2.01,3.4,4.8,1.9,3.21,4.3
Argentina,Copa De La Liga Profesional,2024,28/01/2024,22:00,River Plate,Argentinos Jrs,1,1,D,1.56,4.03,6.74,1.6,4.03,6.8,1.55,3.83,6.06
Argentina,Copa De La Liga Profesional,2024,29/01/2024,00:00,Estudiantes L.P.,Belgrano,1,0,H,2,3.1,4.7,2.04,3.19,4.7,1.97,3.02,4.3
Argentina,Copa De La Liga Profesional,2024,30/01/2024,00:00,Instituto,Atl. Tucuman,3,0,H,2.42,2.83,3.75,2.44,2.81,3.89,2.33,2.73,3.6
Mexico,Liga MX,2023/2024,27/01/2024,01:00,Puebla,Toluca,1,1,D,3.49,3.93,2.03,3.5,4.2,2.06,3.34,3.88,1.96
Mexico,Liga MX,2023/2024,27/01/2024,03:00,Club Tijuana,Guadalajara Chivas,1,1,D,2.48,3.33,3.08,2.66,3.33,3.08,2.44,3.19,2.9
Mexico,Liga MX,2023/2024,27/01/2024,23:00,Club Leon,Santos Laguna,3,2,H,1.81,4.05,4.34,1.85,4.05,4.41,1.78,3.89,4.02
Mexico,Liga MX,2023/2024,27/01/2024,23:00,Cruz Azul,Mazatlan FC,2,1,H,1.54,4.66,5.99,1.54,4.66,6,1.5,4.36,5.74
Mexico,Liga MX,2023/2024,28/01/2024,01:00,Monterrey,Atl. San Luis,3,1,H,1.55,4.5,6.13,1.55,4.55,7,1.49,4.32,6
Mexico,Liga MX,2023/2024,28/01/2024,03:05,Necaxa,Club America,0,0,D,5.62,3.98,1.66,5.81,3.98,1.71,5.05,3.8,1.65
Mexico,Liga MX,2023/2024,28/01/2024,23:15,U.N.A.M.- Pumas,Pachuca,3,1,H,2.03,3.61,3.85,2.12,3.66,3.85,2.02,3.47,3.52
Mexico,Liga MX,2023/2024,29/01/2024,01:00,Atlas,Juarez,2,1,H,1.99,3.37,4.35,2,3.5,4.36,1.91,3.36,4.05
Mexico,Liga MX,2023/2024,29/01/2024,03:00,Queretaro,U.A.N.L.- Tigres,1,1,D,5.05,3.48,1.83,5.05,3.48,1.96,4.45,3.27,1.85
Romania,Liga 1,2023/2024,26/01/2024,18:00,Farul Constanta,U Craiova 1948,1,0,H,1.88,3.74,4.05,1.95,3.74,4.4,1.88,3.53,3.75
Romania,Liga 1,2023/2024,27/01/2024,12:00,UTA Arad,Sepsi Sf. Gheorghe,2,1,H,3.61,3.21,2.19,3.61,3.21,2.3,3.29,3.12,2.19
Romania,Liga 1,2023/2024,27/01/2024,15:00,Otelul,Petrolul,0,0,D,2.69,2.78,3.21,2.69,3,3.38,2.42,2.82,3.17
Romania,Liga 1,2023/2024,27/01/2024,18:00,Din. Bucuresti,FC Rapid Bucuresti,1,2,A,3.56,3.29,2.18,3.93,3.32,2.19,3.49,3.14,2.1
Romania,Liga 1,2023/2024,28/01/2024,12:00,FC Hermannstadt,FC Botosani,2,0,H,1.68,3.46,6.08,1.87,3.51,6.08,1.68,3.38,5.29
Romania,Liga 1,2023/2024,28/01/2024,15:00,Poli Iasi,U. Cluj,1,0,H,3.94,3.24,2.07,4,3.24,2.17,3.52,3.11,2.09
Romania,Liga 1,2023/2024,28/01/2024,18:00,Univ. Craiova,FCSB,0,3,A,2.63,3.22,2.84,2.75,3.3,2.84,2.56,3.17,2.66
Romania,Liga 1,2023/2024,29/01/2024,18:00,CFR Cluj,FC Voluntari,4,1,H,1.42,4.61,7.72,1.5,4.61,8.76,1.41,4.33,7.16
Switzerland,Super League,2023/2024,27/01/2024,17:00,Lausanne Ouchy,Winterthur,1,3,A,2.7,3.51,2.65,2.78,3.6,2.7,2.62,3.42,2.54
Switzerland,Super League,2023/2024,27/01/2024,17:00,Servette,Yverdon,1,0,H,1.49,4.56,6.82,1.49,4.8,7.5,1.44,4.47,6.55
Switzerland,Super League,2023/2024,27/01/2024,19:30,Basel,Young Boys,1,0,H,3.07,3.42,2.41,3.07,3.61,2.55,2.83,3.38,2.39
Switzerland,Super League,2023/2024,28/01/2024,13:15,St. Gallen,Lugano,1,4,A,1.76,4.21,4.33,1.8,4.3,4.53,1.73,4.03,4.12
Switzerland,Super League,2023/2024,28/01/2024,15:30,Grasshoppers,Zurich,2,1,H,4.06,3.67,1.93,4.09,3.8,2.01,3.71,3.56,1.93
Switzerland,Super League,2023/2024,28/01/2024,15:30,Luzern,Lausanne,2,1,H,2.07,3.67,3.59,2.21,3.75,3.59,2.05,3.58,3.35
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
