Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA
B1,27/09/2023,19:45,Antwerp,Gent,,,,,,,2.1,3.6,3.2,2.1,3.7,3.2,2.15,3.55,3.1,2.12,3.7,3.42,,,,2.15,3.3,3.2,2.16,3.75,3.42,2.12,3.61,3.21,1.7,2.1,1.76,2.13,1.76,2.21,1.71,2.12,-0.25,1.83,2.03,1.85,2.05,1.87,2.06,1.83,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,28/09/2023,17:30,RWDM,Royale Union SG,,,,,,,4.75,3.8,1.7,4.5,4.1,1.7,4.5,3.9,1.7,4.79,4.22,1.66,,,,4.6,4,1.67,4.9,4.3,1.71,4.64,4.06,1.68,1.6,2.3,1.58,2.4,1.66,2.42,1.59,2.33,0.75,2,1.85,2.03,1.83,2.04,1.92,1.96,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,28/09/2023,19:45,Club Brugge KV,Genk,,,,,,,1.85,3.6,4.2,1.82,3.9,4,1.85,3.75,3.85,1.79,4.03,4.16,,,,1.8,3.9,3.9,1.85,4.1,4.3,1.79,3.92,4.03,1.57,2.35,1.56,2.46,1.6,2.5,1.56,2.38,-0.75,2.1,1.78,2.02,1.84,2.1,1.9,1.99,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC,26/09/2023,19:45,AFC Fylde,Boreham Wood,,,,,,,2.25,3.25,2.9,2.2,3.2,2.8,2.2,3.25,2.9,2.43,3.44,2.93,2.15,3.2,2.9,2.2,3.25,2.8,2.43,3.45,3.02,2.29,3.32,2.89,1.93,1.88,1.96,1.88,1.99,1.93,1.89,1.84,-0.25,2,1.8,2.1,1.78,2.1,1.85,1.99,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC,26/09/2023,19:45,Aldershot,Southend,,,,,,,2.8,3.5,2.2,2.65,3.25,2.25,2.8,3.35,2.25,2.96,3.56,2.35,2.88,3.2,2.15,2.75,3.25,2.25,2.96,3.56,2.35,2.82,3.42,2.28,1.8,2,1.88,1.95,1.88,2,1.8,1.93,0.25,1.8,2,1.83,2.04,1.83,2.11,1.77,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC,26/09/2023,19:45,Bromley,Eastleigh,,,,,,,2.05,3.3,3.25,1.98,3.3,3.1,2.15,3.35,3,2.18,3.49,3.34,1.91,3.25,3.4,2,3.25,3.25,2.18,3.5,3.5,2.08,3.4,3.23,1.9,1.9,1.92,1.92,1.92,1.98,1.85,1.88,-0.25,1.8,2,1.88,1.97,1.95,2.02,1.81,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC,26/09/2023,19:45,Ebbsfleet,Dorking,,,,,,,1.62,3.8,4.5,1.61,4,4,1.63,4.1,4.2,1.63,4.38,4.79,1.62,3.9,4,1.57,4,4.33,1.66,4.38,5.06,1.61,4.18,4.46,1.48,2.6,1.5,2.6,1.53,2.6,1.47,2.52,-1,2.03,1.78,2.07,1.81,2.16,1.86,2.02,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC,26/09/2023,19:45,FC Halifax,Dag & Red,,,,,,,2,3.3,3.5,2,3,3.4,2.15,3.05,3.4,2.14,3.25,3.68,1.95,3,3.6,1.95,3.1,3.5,2.15,3.3,3.68,2.06,3.19,3.51,2.1,1.7,2.37,1.6,2.37,1.7,2.25,1.59,-0.25,1.75,2.05,1.83,2.03,1.83,2.11,1.76,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC,26/09/2023,19:45,Hartlepool,Solihull Moors,,,,,,,2.05,3.3,3.4,1.95,3.5,3.1,2.05,3.5,3,2.01,3.78,3.52,1.91,3.4,3.3,1.83,3.5,3.5,2.08,3.78,3.52,2,3.59,3.29,1.7,2.1,1.69,2.19,1.7,2.25,1.65,2.14,-0.5,2.03,1.78,2.01,1.85,2.09,1.85,1.98,1.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC,26/09/2023,19:45,Kidderminster,Oldham,,,,,,,2.9,3.2,2.25,2.75,3.1,2.25,2.9,3.1,2.3,2.98,3.31,2.46,2.5,3.1,2.5,2.8,3.1,2.25,2.98,3.35,2.53,2.87,3.23,2.35,2.05,1.75,2.12,1.74,2.12,1.8,2.01,1.73,0.25,1.78,2.03,1.77,2.11,1.83,2.11,1.75,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
