FTHG,FTAG,HST,AST,B365H,B365D,B365A,FTR
6,0,14.0,2.0,1.1,10.0,23.0,H
0,2,2.0,6.0,2.8,3.25,2.6,A
2,1,8.0,4.0,1.36,5.0,8.5,H
1,0,4.0,3.0,3.4,3.3,2.2,H
2,0,8.0,3.0,1.8,3.5,4.75,H
1,1,1.0,5.0,2.2,3.2,3.5,D
2,1,9.0,6.0,2.3,3.4,3.1,H
2,1,5.0,2.0,2.15,3.3,3.5,H
2,2,5.0,9.0,2.5,3.25,2.9,D
0,2,2.0,2.0,10.0,5.5,1.3,A
1,0,1.0,3.0,3.0,3.3,2.4,H
3,1,7.0,2.0,3.6,3.6,2.0,H
0,2,5.0,6.0,2.4,3.1,3.2,A
3,1,5.0,2.0,1.45,4.5,7.0,H
1,0,4.0,1.0,5.25,4.2,1.62,H
0,0,4.0,9.0,1.85,3.75,4.2,D
4,4,6.0,5.0,2.0,3.5,3.75,D
1,2,1.0,5.0,2.3,3.4,3.1,A
3,0,3.0,8.0,1.8,3.6,4.5,H
3,1,5.0,5.0,1.07,12.0,34.0,H
6,0,14.0,1.0,1.13,9.0,21.0,H
2,1,8.0,3.0,4.0,3.5,1.95,H
0,4,2.0,6.0,2.75,3.25,2.63,A
0,0,5.0,9.0,3.1,3.6,2.25,D
4,1,7.0,5.0,1.44,4.5,7.5,H
1,3,5.0,6.0,2.38,3.4,3.0,A
2,0,2.0,4.0,2.5,3.4,2.8,H
1,1,3.0,4.0,3.5,3.5,2.1,D
1,0,4.0,0.0,2.3,3.4,3.1,H
0,2,3.0,5.0,2.25,3.25,3.4,A
1,5,9.0,9.0,4.75,3.75,1.75,A
3,0,7.0,2.0,1.14,9.0,17.0,H
0,0,6.0,2.0,1.45,4.5,7.0,D
1,1,5.0,1.0,2.38,3.5,3.0,D
1,3,8.0,5.0,2.1,3.4,3.6,A
1,2,7.0,6.0,3.0,3.5,2.3,A
3,1,5.0,5.0,1.18,7.5,15.0,H
1,0,6.0,0.0,1.67,3.75,5.5,H
3,3,4.0,4.0,2.25,3.2,3.4,D
0,1,1.0,8.0,13.0,7.0,1.2,A
2,3,5.0,6.0,3.0,3.3,2.4,A
2,0,5.0,2.0,1.8,3.6,4.75,H
2,1,4.0,3.0,3.9,3.75,1.91,H
1,1,2.0,2.0,2.3,3.3,3.2,D
2,1,2.0,5.0,2.7,3.4,2.6,H
2,1,10.0,2.0,1.65,3.75,5.75,H
1,1,3.0,2.0,1.17,7.0,19.0,D
2,2,2.0,7.0,3.1,3.4,2.3,D
1,0,3.0,3.0,2.3,3.3,3.2,H
2,0,5.0,3.0,2.0,3.25,4.2,H
1,2,5.0,9.0,2.05,3.4,3.75,A
2,0,6.0,4.0,3.8,3.6,1.95,H
4,0,8.0,4.0,2.2,3.4,3.3,H
0,0,3.0,2.0,1.85,3.6,4.33,D
1,1,6.0,2.0,1.33,5.25,9.0,D
1,1,5.0,3.0,3.1,3.4,2.3,D
2,2,4.0,5.0,13.0,6.0,1.25,D
2,1,3.0,1.0,1.8,3.5,4.75,H
2,1,4.0,6.0,2.05,3.6,3.5,H
0,0,4.0,0.0,1.67,3.8,5.25,D
2,1,5.0,6.0,4.75,4.2,1.67,H
2,1,5.0,4.0,1.5,4.0,7.5,H
0,1,2.0,6.0,2.4,3.3,3.0,A
0,3,0.0,4.0,2.45,3.25,3.0,A
2,0,5.0,0.0,1.2,7.5,12.0,H
3,1,5.0,1.0,4.5,3.6,1.8,H
2,1,5.0,6.0,2.1,3.3,3.7,H
2,1,7.0,2.0,2.5,3.2,3.0,H
3,3,7.0,10.0,6.0,4.2,1.53,D
0,3,1.0,8.0,1.5,4.33,6.0,A
3,1,6.0,3.0,1.5,4.0,7.0,H
3,0,5.0,4.0,1.95,3.6,3.8,H
0,0,2.0,1.0,1.85,3.5,4.5,D
1,3,3.0,8.0,15.0,6.5,1.2,A
0,2,0.0,4.0,6.0,3.8,1.62,A
0,0,1.0,2.0,1.57,4.33,5.5,D
2,0,8.0,2.0,2.1,3.3,3.75,H
1,3,4.0,5.0,2.3,3.5,3.0,A
1,2,2.0,6.0,2.7,3.4,2.6,A
3,0,6.0,2.0,1.57,3.8,6.5,H
1,0,7.0,2.0,2.25,3.4,3.2,H
3,0,6.0,2.0,2.5,3.2,3.0,H
1,1,5.0,3.0,1.17,8.0,15.0,D
1,0,1.0,1.0,2.6,3.1,2.9,H
0,3,2.0,5.0,2.6,3.3,2.75,A
2,5,6.0,6.0,8.0,4.25,1.45,A
0,2,5.0,5.0,2.1,3.3,3.75,A
3,2,4.0,3.0,1.25,5.75,13.0,H
3,1,5.0,3.0,1.57,3.8,6.5,H
3,1,6.0,5.0,1.53,4.33,6.0,H
2,3,6.0,4.0,2.3,3.4,3.1,A
0,0,3.0,4.0,2.7,3.2,2.75,D
0,1,4.0,7.0,3.0,3.1,2.55,A
1,0,4.0,3.0,3.4,3.6,2.1,H
4,2,6.0,11.0,2.1,3.5,3.5,H
1,2,8.0,4.0,2.2,3.3,3.4,A
0,1,0.0,4.0,2.4,3.5,2.9,A
2,2,5.0,4.0,1.62,4.0,5.5,D
1,2,4.0,9.0,2.7,3.5,2.55,A
1,4,3.0,7.0,3.8,3.6,1.95,A
2,1,8.0,4.0,1.29,6.0,10.0,H
2,1,4.0,5.0,4.75,4.2,1.65,H
0,0,5.0,2.0,1.75,3.5,5.25,D
2,2,7.0,4.0,2.38,3.4,3.0,D
1,1,5.0,3.0,2.9,3.3,2.5,D
1,1,8.0,4.0,2.0,3.6,3.75,D
2,1,5.0,4.0,2.0,3.5,3.8,H
3,1,7.0,2.0,1.33,5.0,10.0,H
1,3,3.0,6.0,10.0,5.75,1.29,A
4,1,7.0,1.0,1.5,4.5,6.5,H
4,0,6.0,1.0,2.1,3.4,3.6,H
1,1,6.0,2.0,1.5,4.2,7.0,D
2,1,5.0,5.0,2.0,3.3,4.0,H
2,1,5.0,5.0,2.5,3.3,2.9,H
2,3,4.0,8.0,2.1,3.2,3.8,A
1,1,5.0,4.0,2.8,3.0,2.75,D
0,2,2.0,5.0,2.7,3.1,2.8,A
0,0,3.0,0.0,2.4,3.3,3.0,D
5,0,10.0,3.0,1.17,7.5,17.0,H
1,1,2.0,4.0,5.5,4.33,1.57,D
1,0,2.0,4.0,1.67,3.75,5.5,H
1,0,5.0,2.0,2.3,3.2,3.25,H
0,1,4.0,6.0,1.73,3.75,5.0,A
1,0,1.0,3.0,4.33,3.75,1.8,H
1,0,3.0,4.0,1.67,4.0,5.0,H
0,1,0.0,2.0,2.3,3.3,3.2,A
2,2,5.0,4.0,3.8,4.0,1.85,D
1,0,1.0,3.0,3.2,3.1,2.4,H
3,1,8.0,3.0,1.91,3.6,4.0,H
2,0,8.0,0.0,1.62,3.8,6.0,H
1,1,2.0,2.0,1.67,4.0,5.0,D
1,1,5.0,5.0,2.6,3.4,2.7,D
1,0,3.0,1.0,2.5,3.2,3.0,H
0,1,2.0,2.0,19.0,8.0,1.14,A
1,2,3.0,7.0,1.55,4.0,6.25,A
1,1,8.0,3.0,1.3,5.5,10.0,D
3,0,4.0,6.0,2.0,3.4,3.9,H
2,1,7.0,3.0,3.3,3.25,2.3,H
1,2,4.0,7.0,1.95,3.5,4.0,A
3,0,11.0,2.0,1.36,5.25,8.0,H
1,1,2.0,6.0,2.75,3.3,2.6,D
2,0,5.0,0.0,1.57,3.9,6.25,H
1,1,3.0,3.0,1.62,4.0,5.5,D
1,2,6.0,5.0,2.1,3.3,3.75,A
1,2,3.0,5.0,13.0,6.5,1.22,A
0,2,2.0,3.0,2.8,3.3,2.6,A
0,0,2.0,4.0,4.0,3.6,1.91,D
3,0,7.0,3.0,1.62,3.8,6.0,H
1,0,5.0,3.0,1.8,3.6,4.75,H
1,2,5.0,8.0,6.0,4.33,1.53,A
1,0,3.0,1.0,1.85,3.6,4.33,H
3,1,9.0,3.0,1.67,3.7,5.5,H
0,0,5.0,3.0,2.4,3.3,3.0,D
0,1,2.0,1.0,1.73,3.6,5.25,A
1,6,4.0,7.0,3.6,3.3,2.15,A
3,1,7.0,3.0,2.2,3.2,3.6,H
2,3,4.0,7.0,1.85,3.6,4.33,A
2,1,5.0,2.0,1.73,3.75,4.8,H
1,2,4.0,4.0,15.0,6.5,1.2,A
1,2,5.0,5.0,1.95,3.5,4.0,A
2,1,4.0,2.0,2.5,3.25,2.9,H
1,1,1.0,4.0,5.25,4.2,1.62,D
1,0,3.0,0.0,3.1,3.3,2.35,H
1,1,4.0,3.0,1.2,7.5,13.0,D
1,0,4.0,1.0,1.67,3.8,5.25,H
1,0,2.0,2.0,2.05,3.4,3.75,H
1,0,2.0,4.0,2.15,3.1,3.8,H
4,0,7.0,2.0,1.8,3.8,4.33,H
3,0,3.0,4.0,1.73,3.8,4.75,H
3,2,7.0,4.0,2.1,3.5,3.5,H
2,0,6.0,0.0,1.55,3.8,7.0,H
2,0,4.0,6.0,2.1,3.25,3.8,H
2,1,7.0,4.0,9.0,5.0,1.36,H
0,2,0.0,5.0,8.5,5.0,1.36,A
3,0,7.0,3.0,1.91,3.5,4.2,H
0,3,0.0,5.0,1.5,4.2,7.0,A
2,0,3.0,2.0,1.85,3.5,4.5,H
0,1,6.0,3.0,2.88,3.5,2.4,A
2,1,6.0,5.0,2.7,3.1,2.8,H
2,1,7.0,7.0,2.5,3.4,2.8,H
1,3,4.0,10.0,3.25,3.25,2.25,A
3,0,10.0,3.0,1.44,4.5,7.5,H
0,2,6.0,11.0,2.05,3.1,4.2,A
2,2,4.0,3.0,2.05,3.4,3.75,D
1,1,2.0,7.0,10.0,4.33,1.36,D
2,0,5.0,4.0,1.45,4.5,7.5,H
0,2,5.0,4.0,1.95,3.5,4.0,A
1,1,4.0,4.0,2.5,3.1,3.1,D
1,2,3.0,5.0,2.6,3.2,2.8,A
1,2,6.0,3.0,1.91,3.5,4.2,A
8,0,12.0,1.0,1.14,8.5,19.0,H
1,2,2.0,3.0,2.8,3.25,2.6,A
0,3,3.0,10.0,5.75,4.2,1.57,A
2,0,4.0,2.0,2.05,3.2,4.0,H
0,2,3.0,5.0,1.73,3.8,4.75,A
3,1,5.0,1.0,1.67,3.75,5.5,H
0,2,3.0,4.0,2.7,3.1,2.8,A
1,1,2.0,4.0,2.05,3.4,3.8,D
2,2,2.0,5.0,4.2,3.5,1.91,D
6,2,12.0,3.0,1.5,4.33,6.5,H
0,3,2.0,8.0,8.5,4.75,1.4,A
5,2,12.0,4.0,1.75,3.75,4.75,H
1,1,2.0,5.0,2.25,3.4,3.2,D
4,2,7.0,2.0,2.3,3.3,3.2,H
2,0,4.0,3.0,1.67,4.0,5.0,H
1,2,3.0,3.0,2.1,3.5,3.5,A
1,0,3.0,1.0,2.45,3.2,3.0,H
1,1,7.0,3.0,1.5,4.33,6.5,D
3,0,7.0,4.0,1.13,9.0,21.0,H
2,1,5.0,6.0,3.5,3.25,2.2,H
1,1,4.0,7.0,3.0,3.4,2.38,D
2,1,4.0,2.0,5.25,4.0,1.65,H
2,2,9.0,2.0,2.5,3.1,3.1,D
0,1,6.0,5.0,1.62,3.8,6.0,A
2,1,6.0,3.0,2.75,3.3,2.6,H
3,0,7.0,3.0,1.75,3.5,5.25,H
1,0,2.0,2.0,1.3,5.5,10.5,H
1,1,3.0,3.0,2.4,3.3,3.0,D
0,0,1.0,0.0,2.2,3.2,3.5,D
4,2,6.0,6.0,2.38,3.2,3.2,H
1,0,4.0,7.0,2.15,3.6,3.3,H
3,0,4.0,2.0,3.5,3.6,2.05,H
1,0,4.0,1.0,1.5,4.0,7.5,H
0,1,5.0,5.0,2.63,3.5,2.63,A
0,1,1.0,6.0,8.0,4.75,1.4,A
1,3,3.0,8.0,2.9,3.1,2.6,A
6,0,8.0,2.0,1.1,10.0,26.0,H
0,0,4.0,1.0,2.5,3.3,2.9,D
2,5,4.0,7.0,2.25,3.5,3.2,A
2,1,4.0,1.0,2.38,3.2,3.2,H
4,0,10.0,1.0,1.36,5.0,9.0,H
1,1,3.0,2.0,3.75,3.6,2.0,D
2,1,5.0,1.0,2.1,3.3,3.8,H
3,3,5.0,9.0,1.8,3.75,4.5,D
3,0,10.0,6.0,1.29,5.75,10.0,H
1,0,1.0,2.0,2.35,3.2,3.2,H
1,0,4.0,6.0,6.0,4.6,1.5,H
3,0,6.0,3.0,3.0,3.5,2.3,H
2,3,5.0,6.0,2.7,3.1,2.8,A
0,2,2.0,7.0,5.0,3.8,1.7,A
2,3,3.0,7.0,3.4,3.4,2.15,A
1,0,7.0,2.0,1.83,3.5,4.5,H
0,1,4.0,5.0,1.73,3.75,5.0,A
2,2,7.0,4.0,2.0,3.5,3.8,D
4,1,6.0,3.0,1.62,4.0,5.5,H
2,3,2.0,7.0,2.63,3.2,2.8,A
1,0,3.0,3.0,2.38,3.4,3.0,H
2,1,6.0,4.0,3.5,3.5,2.1,H
1,0,5.0,3.0,1.91,3.6,4.0,H
4,1,7.0,1.0,2.0,3.5,3.75,H
2,0,8.0,0.0,1.75,3.5,5.25,H
3,2,10.0,5.0,1.5,4.0,7.5,H
2,1,6.0,0.0,2.8,3.2,2.55,H
3,1,7.0,2.0,1.44,4.33,7.0,H
5,3,9.0,4.0,2.0,3.5,3.6,H
0,0,2.0,6.0,4.75,4.2,1.62,D
1,0,3.0,2.0,2.25,3.2,3.3,H
4,0,6.0,2.0,1.44,4.33,7.0,H
3,0,6.0,3.0,2.0,3.3,3.75,H
2,1,5.0,8.0,5.75,3.8,1.6,H
2,1,5.0,4.0,2.25,3.4,3.1,H
1,1,6.0,6.0,3.0,3.4,2.38,D
2,2,6.0,5.0,1.18,7.0,17.0,D
3,1,7.0,4.0,1.75,3.6,5.0,H
1,2,6.0,4.0,1.4,4.75,8.0,A
1,0,5.0,2.0,2.5,3.3,2.9,H
2,4,5.0,5.0,2.2,3.5,3.2,A
2,3,3.0,6.0,3.5,3.7,2.05,A
2,1,5.0,4.0,3.4,3.6,2.1,H
1,1,1.0,1.0,3.0,3.5,2.3,D
1,4,4.0,8.0,2.1,3.5,3.5,A
3,0,4.0,4.0,3.3,3.3,2.25,H
0,0,4.0,0.0,1.29,5.75,10.0,D
1,2,8.0,5.0,2.2,3.4,3.3,A
0,0,3.0,0.0,1.45,4.5,7.0,D
2,0,4.0,2.0,2.05,3.5,3.6,H
0,6,3.0,9.0,8.0,4.75,1.4,A
4,0,9.0,4.0,2.5,3.3,2.9,H
1,0,1.0,2.0,1.57,4.0,6.0,H
4,3,9.0,4.0,2.55,3.5,2.7,H
1,0,8.0,3.0,1.07,13.0,26.0,H
2,1,4.0,5.0,1.5,4.75,5.75,H
0,2,2.0,3.0,2.6,3.4,2.7,A
1,4,1.0,8.0,3.5,3.5,2.1,A
1,1,2.0,6.0,2.38,3.5,2.9,D
1,1,5.0,4.0,1.73,3.8,4.75,D
2,0,5.0,3.0,3.3,3.5,2.15,H
0,0,2.0,6.0,2.38,3.4,3.0,D
1,1,3.0,5.0,6.0,4.6,1.5,D
0,2,2.0,5.0,3.5,3.4,2.15,A
1,1,4.0,9.0,2.38,3.5,2.9,D
2,2,9.0,4.0,2.1,3.5,3.5,D
4,2,8.0,4.0,1.7,3.8,5.0,H
4,5,6.0,9.0,3.75,3.7,1.95,A
1,1,1.0,4.0,2.05,3.75,3.5,D
3,5,7.0,9.0,2.63,3.6,2.55,A
1,1,6.0,6.0,1.95,3.6,4.0,D
4,1,11.0,8.0,1.17,8.0,15.0,H
4,3,11.0,5.0,1.2,7.5,12.0,H
2,2,3.0,5.0,4.0,3.6,1.91,D
2,0,4.0,0.0,1.62,4.0,5.5,H
2,1,3.0,5.0,2.6,3.4,2.7,H
2,6,5.0,11.0,2.05,3.4,3.8,A
0,0,9.0,2.0,1.36,5.0,8.5,D
1,1,8.0,3.0,2.63,3.5,2.6,D
2,2,10.0,4.0,1.33,5.5,8.5,D
0,4,1.0,10.0,7.5,6.5,1.3,A
4,4,8.0,6.0,2.7,3.6,2.45,D
1,2,5.0,8.0,2.3,3.6,2.9,A
3,2,7.0,6.0,2.45,3.6,2.75,H
5,0,9.0,1.0,1.65,4.33,4.5,H
2,0,8.0,1.0,1.6,4.2,5.25,H
1,0,2.0,4.0,1.4,5.0,7.0,H
4,1,7.0,3.0,1.95,3.5,3.9,H
1,0,4.0,2.0,1.36,5.25,7.5,H
5,1,11.0,3.0,1.5,4.75,5.75,H
1,1,6.0,3.0,7.0,5.0,1.4,D
1,4,6.0,6.0,4.0,3.3,1.95,A
1,2,2.0,6.0,2.3,3.4,3.0,A
1,0,6.0,2.0,1.7,3.75,4.75,H
2,3,9.0,6.0,3.0,3.6,2.25,A
0,3,2.0,10.0,3.8,3.8,1.85,A
1,1,7.0,2.0,2.38,3.5,2.88,D
3,1,6.0,2.0,1.08,12.0,19.0,H
2,2,9.0,6.0,1.25,7.0,9.5,D
2,2,3.0,9.0,2.0,3.75,3.75,D
3,1,5.0,7.0,2.5,3.6,2.63,H
5,1,13.0,1.0,1.2,7.0,12.0,H
5,0,6.0,5.0,2.2,3.5,3.2,H
4,0,6.0,3.0,2.63,3.5,2.55,H
1,2,3.0,9.0,8.5,5.75,1.3,A
1,1,4.0,2.0,2.1,3.4,3.5,D
0,3,1.0,8.0,3.4,3.25,2.2,A
2,2,9.0,5.0,1.65,4.5,4.5,D
1,3,7.0,5.0,2.25,3.6,3.1,A
2,4,4.0,6.0,3.1,3.8,2.1,A
1,3,3.0,6.0,2.63,3.4,2.7,A
3,0,6.0,4.0,1.25,7.0,10.0,H
2,1,3.0,5.0,2.25,3.4,3.2,H
1,1,10.0,6.0,2.88,3.6,2.38,D
4,2,4.0,4.0,2.3,4.0,2.7,H
3,3,8.0,10.0,2.9,3.5,2.38,D
3,1,11.0,0.0,1.36,4.5,8.0,H
2,1,3.0,3.0,2.55,3.5,2.63,H
7,0,16.0,1.0,1.11,10.0,19.0,H
1,0,4.0,2.0,1.65,4.0,4.75,H
0,1,1.0,4.0,4.75,4.75,1.57,A
0,2,6.0,4.0,2.05,3.6,3.4,A
2,1,6.0,5.0,2.5,3.6,2.6,H
4,1,10.0,1.0,1.22,6.5,12.0,H
0,0,5.0,2.0,2.05,3.6,3.4,D
1,3,5.0,5.0,3.1,4.0,2.05,A
1,3,5.0,9.0,2.3,3.75,2.9,A
0,2,5.0,4.0,2.88,3.5,2.38,A
1,0,4.0,8.0,3.0,3.6,2.25,H
0,3,3.0,3.0,5.75,4.5,1.53,A
2,0,7.0,3.0,2.05,3.5,3.5,H
2,2,2.0,5.0,3.4,4.2,1.91,D
4,2,5.0,7.0,2.8,3.8,2.3,H
2,0,3.0,4.0,1.73,4.0,4.75,H
2,2,9.0,7.0,2.05,3.75,3.4,D
1,2,3.0,5.0,1.85,3.75,4.0,A
4,2,7.0,6.0,1.57,4.33,5.25,H
0,0,5.0,2.0,1.25,6.0,11.0,D
3,1,7.0,5.0,2.0,3.5,3.75,H
2,3,3.0,4.0,2.75,3.75,2.4,A
3,0,10.0,3.0,1.33,5.5,8.0,H
3,0,5.0,0.0,1.14,8.5,17.0,H
2,0,6.0,2.0,1.7,4.0,4.75,H
1,0,5.0,1.0,1.29,6.5,8.0,H
1,3,3.0,7.0,6.5,4.75,1.44,A
2,1,5.0,5.0,1.7,3.75,5.0,H
1,3,5.0,5.0,2.1,3.5,3.4,A
0,3,2.0,5.0,2.5,3.5,2.7,A
1,2,7.0,6.0,4.33,4.0,1.75,A
1,3,3.0,5.0,9.0,6.0,1.29,A
3,1,8.0,2.0,2.4,3.6,2.88,H
2,5,5.0,6.0,2.45,3.5,2.8,A
2,2,4.0,4.0,2.7,3.3,2.55,D
3,2,5.0,6.0,2.9,3.5,2.38,H
8,0,16.0,4.0,1.06,12.0,26.0,H
2,1,6.0,3.0,1.8,4.0,4.0,H
2,3,10.0,5.0,1.85,4.0,3.8,A
2,0,3.0,2.0,2.7,3.3,2.6,H
6,0,13.0,1.0,1.44,4.75,7.0,H
3,3,7.0,4.0,3.4,3.4,2.15,D
2,1,4.0,4.0,1.29,5.5,11.0,H
1,2,4.0,4.0,2.3,3.75,2.88,A
1,1,12.0,3.0,2.3,3.6,2.9,D
3,3,8.0,5.0,2.1,3.8,3.2,D
2,3,7.0,4.0,5.0,4.5,1.57,A
2,0,3.0,2.0,5.75,4.2,1.6,H
0,3,3.0,3.0,2.55,3.1,2.9,A
0,4,1.0,8.0,4.0,4.33,1.75,A
2,2,5.0,4.0,1.7,4.33,4.33,D
2,0,2.0,2.0,4.5,4.33,1.65,H
4,0,8.0,4.0,2.3,3.8,2.7,H
1,1,6.0,6.0,2.63,3.6,2.55,D
4,2,8.0,2.0,1.06,17.0,21.0,H
0,0,3.0,0.0,3.1,3.5,2.25,D
2,1,10.0,1.0,2.55,3.75,2.55,H
1,1,9.0,6.0,2.45,3.4,2.88,D
4,0,10.0,2.0,1.29,6.0,9.0,H
2,2,5.0,3.0,3.1,3.4,2.3,D
3,1,6.0,3.0,1.44,5.0,6.5,H
0,1,2.0,5.0,9.0,7.0,1.25,A
4,2,13.0,3.0,1.45,5.5,5.25,H
